school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
1612,BLOOMSBURG AREA HS,45.3,77.9,42.1,2018
1619,CENTRAL COLUMBIA SHS,46.1,74.4,45.3,2018
5178,COLUMBIA - MONTOUR AVTS,46,42,34.1,2018
1623,MILLVILLE AREA JSHS,35.7,68.3,31,2018
1627,SOUTHERN COLUMBIA HS,63.2,72,68.2,2018
7567,SUSQ-CYBER CS,,,18.2,2018
8224,CONNEAUT AREA SENIOR HIGH,44.6,68,32,2018
1632,COCHRANTON AREA JSHS,46.3,56.1,46.3,2018
1654,MEADVILLE AREA HS,46.5,61.6,48.4,2018
1629,CAMBRIDGE SPRINGS HS,44.8,69,53.4,2018
6942,MAPLEWOOD HS,49.4,62.9,47.7,2018
6136,SAEGERTOWN HS,43.2,65.4,41.5,2018
1677,BIG SPRING HS,37,56.5,43,2018
1682,CAMP HILL SHS,31.2,74.4,34.2,2018
1694,CARLISLE AREA HS,44.8,70.2,40.2,2018
1701,CUMBERLAND VALLEY HS,32.5,66.4,37.5,2018
5277,CUMBERLAND-PERRY AVTS,,,,2018
1707,EAST PENNSBORO AREA SHS,54.9,65.9,41.6,2018
5098,MECHANICSBURG AREA H,55.3,59.3,39.8,2018
5221,SHIPPENSBURG AREA SH,53.6,66,38.6,2018
6328,BOILING SPRINGS HS,52.4,76.7,48.5,2018
8278,CAPITAL AREA SCHOOL FOR THE ARTS,54,72.5,54,2018
1746,CENTRAL DAUPHIN EAST HS,31.1,52.6,19.1,2018
1745,CENTRAL DAUPHIN SHS,53.3,75.8,40.1,2018
7774,COMMONWEALTH CHARTER ACADEMY CS,27.2,52.4,23.1,2018
5278,DAUPHIN CO AVTS,40.7,56.1,41,2018
4801,HERSHEY HS,37,54.3,29.3,2018
6330,HALIFAX AREA HS,52.4,67.7,46,2018
8376,COUGAR ACADEMY,0,,,2018
6333,HARRISBURG HS,5.7,13.6,7.9,2018
7902,HARRISBURG HS - SCITECH CMP,64,74.4,44.2,2018
1776,LOWER DAUPHIN SHS,38.1,64.2,47.3,2018
7844,PRICE,,,,2018
1790,MIDDLETOWN AREA HS,40.7,64.2,41.5,2018
1794,MILLERSBURG AREA SHS,57.7,72.9,54.3,2018
8366,REACH CYBER CS,27.3,56.1,37.5,2018
1801,STEELTON-HIGHSPIRE HIGH SCH,13.3,30,8.2,2018
1806,SUSQUEHANNA TWP HS,48.9,58.2,27.8,2018
6340,UPPER DAUPHIN AREA H,37.1,58.8,46.4,2018
8258,CHESTER CS FOR THE ARTS,34,45.7,24.4,2018
6492,CHESTER HS,2.1,10.8,4.6,2018
8303,STEM AT SHOWALTER,14.1,41.2,14.3,2018
1849,CHICHESTER SHS,35.6,60.4,30.2,2018
7058,DELAWARE COUNTY TECHNICAL HS - A,15.4,27.3,,2018
7057,DELAWARE COUNTY TECHNICAL HS - F,25,25,33.3,2018
1869,GARNET VALLEY HS,44.2,72.3,35.6,2018
1879,HAVERFORD HS,30.7,79.5,39.1,2018
1885,INTERBORO SHS,41.7,73.4,47,2018
1902,MARPLE NEWTOWN SHS,42.6,66.7,31,2018
1901,PAXON HOLLOW MS,,,,2018
1915,SUN VALLEY HS,44.1,48.4,36.9,2018
6511,RADNOR MS,,,,2018
1921,RADNOR SHS,24.9,63.4,33.8,2018
1934,RIDLEY HS,40.6,70.8,38.8,2018
1942,PENNCREST HS,39.3,66,40.7,2018
6516,ACADEMY PARK HS,25.3,47.6,24.7,2018
1950,SPRINGFIELD HS,45.2,67.8,39.9,2018
1972,UPPER DARBY SHS,38.5,61.9,31.9,2018
5287,STRATH HAVEN HIGH SCHOOL,39.9,72.2,30.4,2018
8231,PENN WOOD HS,32.4,46.2,23.6,2018
6218,JOHNSONBURG AREA HS,48.8,81.8,42.9,2018
1989,RIDGWAY AREA HS,57.4,77.9,48.5,2018
5169,ST MARYS AREA SHS,46.2,64.1,50.3,2018
1998,CORRY AREA HS,60.2,67.7,48.4,2018
7793,CORRY AREA MS,,,,2018
7515,COLLEGIATE ACAD HS,53.8,82.1,53.8,2018
8417,ERIE HS,35.1,36,26.9,2018
5045,ERIE COUNTY TECHNICAL SCHOOL,,,,2018
6737,FAIRVIEW HS,34.7,59.2,33.6,2018
2037,FORT LEBOEUF SHS,51.2,69.2,52.6,2018
2040,GENERAL MCLANE HS,38.3,49.7,34.6,2018
2043,GIRARD HS,38.5,72.9,49.6,2018
7948,HARBOR CREEK SHS,48.6,70.7,47.1,2018
4817,IROQUOIS JSHS,54.3,59.3,38.7,2018
8071,MCDOWELL HS,45.4,69.6,37.5,2018
6145,NORTH EAST HS,54.2,77.8,31.4,2018
6745,NORTHWESTERN SHS,39,64.8,46.2,2018
7770,PERSEUS HOUSE CS OF EXCELLENCE,8.1,16.2,15.2,2018
2075,UNION CITY HS,52.8,60.7,40,2018
6148,SENECA HS,33.7,53.3,28,2018
6001,ALBERT GALLATIN AREA HS,41.3,58.6,38.9,2018
4818,BROWNSVILLE AREA HS,36.2,48.9,39.6,2018
6643,CONNELLSVILLE AREA CTC,35.9,36.3,46.5,2018
5228,CONNELLSVILLE AREA S,59.1,72.2,67.4,2018
4842,FAYETTE CO AVTS,18.2,,,2018
2126,FRAZIER HS,46.4,58.3,38.8,2018
6600,LAUREL HIGHLANDS SHS,46.2,54.3,44.1,2018
2184,UNIONTOWN AREA SHS,49.7,66.7,31.4,2018
6159,EAST FOREST JSHS,28.6,59.1,42.9,2018
6161,WEST FOREST JSHS,35.3,50,23.5,2018
8244,CHAMBERSBURG AREA CAREER MAGNET,54.8,66.7,43.9,2018
2191,CHAMBERSBURG AREA SH,40.5,63.6,36.4,2018
2201,FANNETT-METAL JSHS,48.6,77.1,42.9,2018
5119,FRANKLIN COUNTY CTC,,,,2018
2206,GREENCASTLE-ANTRIM SHS,47.1,66.7,37.8,2018
6281,JAMES BUCHANAN MS,,,,2018
